"Belts","waxes","wax","median","mad"
"Coastal","C22","FAMEs",9.23920127567381,7.38650835626292
"Coastal","C22","n-Alkanes",0.353370245091555,0.126549243039187
"Coastal","C23","FAMEs",1.57895566576767,1.18173513107926
"Coastal","C23","n-Alkanes",1.45979253192689,0.648601036569291
"Coastal","C24","FAMEs",7.83452087178375,3.23843799833027
"Coastal","C24","n-Alkanes",0.96943597338192,0.721180648370047
"Coastal","C25","FAMEs",1.33822816062987,0.975900471188758
"Coastal","C25","n-Alkanes",3.35433608283462,4.24306358100251
"Coastal","C26","FAMEs",11.2541620345833,2.9761072204404
"Coastal","C26","n-Alkanes",1.77590366330813,2.44947537224307
"Coastal","C27","FAMEs",2.21105474909534,0.794169055538624
"Coastal","C27","n-Alkanes",25.9949348769899,16.8404528893364
"Coastal","C28","FAMEs",18.1708934169502,14.1992028296778
"Coastal","C28","n-Alkanes",3.76764714479185,2.06152555269254
"Coastal","C29","FAMEs",1.34471910404552,1.440688788652
"Coastal","C29","n-Alkanes",32.0626253714324,16.8702281598841
"Coastal","C30","FAMEs",4.30777150368479,6.38670203136307
"Coastal","C30","n-Alkanes",1.3197640237598,1.06714327537905
"Coastal","C31","FAMEs",0.67594834543987,1.00216101694915
"Coastal","C31","n-Alkanes",9.07300258525175,13.4516336328942
"Coastal","C32","FAMEs",2.07598090097571,3.07784928378659
"Coastal","C32","n-Alkanes",0.125691811786648,0.11814629624176
"Hyperarid Desert","C22","FAMEs",29.0257692725888,18.0029999354118
"Hyperarid Desert","C22","n-Alkanes",0.47873256414672,0.203110870543311
"Hyperarid Desert","C23","FAMEs",1.73969772751985,0.788022931022075
"Hyperarid Desert","C23","n-Alkanes",1.73998486969679,0.658053735150046
"Hyperarid Desert","C24","FAMEs",13.7849651274779,5.2924039114596
"Hyperarid Desert","C24","n-Alkanes",0.69252972600379,0.206415063150149
"Hyperarid Desert","C25","FAMEs",1.91910405567033,0.474760723542241
"Hyperarid Desert","C25","n-Alkanes",7.68137170429087,7.57786665408273
"Hyperarid Desert","C26","FAMEs",14.3035772534522,14.3902926255647
"Hyperarid Desert","C26","n-Alkanes",1.56923143201792,0.813014464832001
"Hyperarid Desert","C27","FAMEs",2.59083260131023,1.32637446015216
"Hyperarid Desert","C27","n-Alkanes",17.9805345016896,2.9725559528082
"Hyperarid Desert","C28","FAMEs",7.59486789170381,11.2601511362401
"Hyperarid Desert","C28","n-Alkanes",3.19072764700618,3.14494705553098
"Hyperarid Desert","C29","FAMEs",1.34826573882788,1.15632953655318
"Hyperarid Desert","C29","n-Alkanes",17.3498621402723,9.80947098999653
"Hyperarid Desert","C30","FAMEs",1.73145512081027,2.56705536211331
"Hyperarid Desert","C30","n-Alkanes",2.34027897365248,2.04986228905444
"Hyperarid Desert","C31","FAMEs",0.403230073978431,0.597828907680422
"Hyperarid Desert","C31","n-Alkanes",26.3545534386658,13.1930485259412
"Hyperarid Desert","C32","FAMEs",1.8700985320732,2.77260808365172
"Hyperarid Desert","C32","n-Alkanes",0.355419610546269,0.526945114595898
"Prepuna","C22","FAMEs",9.10573525414513,8.74140146882018
"Prepuna","C22","n-Alkanes",0.72578607685064,0.33147550232908
"Prepuna","C23","FAMEs",1.8285545969661,2.00513037653563
"Prepuna","C23","n-Alkanes",3.45322584349664,2.73482158577598
"Prepuna","C24","FAMEs",7.66512639304159,10.0916610996191
"Prepuna","C24","n-Alkanes",1.31720985782861,0.965545848475325
"Prepuna","C25","FAMEs",2.6595744680851,2.86141999061309
"Prepuna","C25","n-Alkanes",11.8982777402408,11.6800697928675
"Prepuna","C26","FAMEs",13.8534911302329,14.9779247373974
"Prepuna","C26","n-Alkanes",1.80189876539888,0.399650847312425
"Prepuna","C27","FAMEs",2.39754131333773,1.80517148967181
"Prepuna","C27","n-Alkanes",20.6791905573981,20.6704616403815
"Prepuna","C28","FAMEs",13.9762017585426,13.8299887032957
"Prepuna","C28","n-Alkanes",2.78026905829596,0.568234621416623
"Prepuna","C29","FAMEs",1.96595856973216,2.9147301754849
"Prepuna","C29","n-Alkanes",21.0259767105354,14.4975836429057
"Prepuna","C30","FAMEs",9.55814383435015,14.1709040488075
"Prepuna","C30","n-Alkanes",1.25849848112252,0.797249349503293
"Prepuna","C31","FAMEs",0.387342602639482,0.574274142673295
"Prepuna","C31","n-Alkanes",11.7158627019976,13.8982275526793
"Prepuna","C32","FAMEs",1.79695502920639,2.66416552630139
"Prepuna","C32","n-Alkanes",0.51207869231882,0.759207869231882
"Puna","C22","FAMEs",11.1107217123744,12.2330887990515
"Puna","C22","n-Alkanes",1.14236382982995,0.266617798350777
"Puna","C23","FAMEs",1.5952941640212,1.28907532825428
"Puna","C23","n-Alkanes",3.87615255968149,5.41521025753628
"Puna","C24","FAMEs",11.7888378592468,10.4861783509692
"Puna","C24","n-Alkanes",1.26817942877168,0.946398763587096
"Puna","C25","FAMEs",1.66143121300607,1.35591912156481
"Puna","C25","n-Alkanes",4.24259681093393,4.38854548136378
"Puna","C26","FAMEs",11.5835662531624,10.5857435281104
"Puna","C26","n-Alkanes",1.62081654108989,1.0924504795826
"Puna","C27","FAMEs",2.94698103393651,1.06056027638214
"Puna","C27","n-Alkanes",10.0961336987587,3.44136754134138
"Puna","C28","FAMEs",24.206309133938,13.7421391620649
"Puna","C28","n-Alkanes",2.34581970488551,1.40167193580534
"Puna","C29","FAMEs",2.92934702270181,2.75049995265975
"Puna","C29","n-Alkanes",22.2306035385918,22.7464794231927
"Puna","C30","FAMEs",9.12036461722085,13.5218525814916
"Puna","C30","n-Alkanes",1.80586819449908,1.58200224141922
"Puna","C31","FAMEs",0.155125750874645,0.229989438246748
"Puna","C31","n-Alkanes",16.8036540686463,9.73264323479009
"Puna","C32","FAMEs",0.488481087860584,0.724222060862102
"Puna","C32","n-Alkanes",0.94073801872161,0.936511017003473
"Steppe","C22","FAMEs",1.28537355766131,0
"Steppe","C22","n-Alkanes",1.36906403400122,1.63663442104044
"Steppe","C23","FAMEs",0.750338425836395,0
"Steppe","C23","n-Alkanes",2.94829769914171,3.83462581310875
"Steppe","C24","FAMEs",2.88661122929156,0
"Steppe","C24","n-Alkanes",1.83974072824719,2.44546389944098
"Steppe","C25","FAMEs",1.17707729001483,0
"Steppe","C25","n-Alkanes",8.44063348246858,11.6699886760728
"Steppe","C26","FAMEs",8.7088248565719,0
"Steppe","C26","n-Alkanes",1.47150505558801,1.56881764436191
"Steppe","C27","FAMEs",2.45084767614259,0
"Steppe","C27","n-Alkanes",10.7759682797242,7.59332001466372
"Steppe","C28","FAMEs",50.7600077354477,0
"Steppe","C28","n-Alkanes",3.44430063558544,1.79951965437327
"Steppe","C29","FAMEs",1.84490427383485,0
"Steppe","C29","n-Alkanes",33.1803932376782,22.8623577831978
"Steppe","C30","FAMEs",21.6386256687939,0
"Steppe","C30","n-Alkanes",6.2631998871662,5.34748323179544
"Steppe","C31","FAMEs",0.621414297685812,0
"Steppe","C31","n-Alkanes",20.2754402488613,22.2943061288725
"Steppe","C32","FAMEs",3.88964094630311,0
"Steppe","C32","n-Alkanes",3.18358117911218,3.68625073645121
"Surface Sediment","C22","FAMEs",11.7433269807565,1.14708635494781
"Surface Sediment","C22","n-Alkanes",6.3610927705536,2.16814360191809
"Surface Sediment","C23","FAMEs",3.47044308150444,0.537351630638281
"Surface Sediment","C23","n-Alkanes",20.3475561820978,2.44319497436773
"Surface Sediment","C24","FAMEs",38.5282610510623,3.77757405361201
"Surface Sediment","C24","n-Alkanes",1.0392814688811,1.54083870576312
"Surface Sediment","C25","FAMEs",1.54427491800941,0.610273418819833
"Surface Sediment","C25","n-Alkanes",12.223589026967,3.33124013200916
"Surface Sediment","C26","FAMEs",11.2234421788108,0.00839941125932585
"Surface Sediment","C26","n-Alkanes",4.49902212723464,1.98022385980407
"Surface Sediment","C27","FAMEs",1.15983476353151,0.0452245210534807
"Surface Sediment","C27","n-Alkanes",17.1911354108554,6.03536994872602
"Surface Sediment","C28","FAMEs",3.13417938114929,1.15385571528044
"Surface Sediment","C28","n-Alkanes",0.503956292388846,0.747165599095703
"Surface Sediment","C29","FAMEs",0.309425352916013,0.176636907696968
"Surface Sediment","C29","n-Alkanes",10.1606238701348,3.50278146044074
"Surface Sediment","C30","FAMEs",0.851276201340367,0.389568959189508
"Surface Sediment","C30","n-Alkanes",0.764757101315941,1.13382887841101
"Surface Sediment","C31","FAMEs",0,0
"Surface Sediment","C31","n-Alkanes",3.90805906651575,1.38794952640556
"Surface Sediment","C32","FAMEs",0,0
"Surface Sediment","C32","n-Alkanes",1.2095792704298,1.0435437149933
